trn_site,test_site,share_encoder,no_mode,int_mode,threshold,s_l,value
Site_5,Site_26,True,False,True,3.0,s,0.7907541990280151
Site_5,Site_26,True,False,True,3.0,l,
Site_5,Site_26,True,False,True,4.0,s,0.7905406355857849
Site_5,Site_26,True,False,True,4.0,l,
Site_5,Site_26,True,False,True,5.0,s,0.8003018498420715
Site_5,Site_26,True,False,True,5.0,l,
Site_23,Site_25,False,False,True,0.5,s,0.23857389390468597
Site_23,Site_25,False,False,True,0.5,l,0.588313639163971
Site_23,Site_25,False,False,True,1.0,s,0.1745748370885849
Site_23,Site_25,False,False,True,1.0,l,0.357680082321167
Site_23,Site_25,False,False,True,2.0,s,0.1381542980670929
Site_23,Site_25,False,False,True,2.0,l,0.16929826140403748
Site_23,Site_25,False,False,True,3.0,s,0.1380239874124527
Site_23,Site_25,False,False,True,3.0,l,0.11086925864219666
Site_23,Site_25,False,False,True,4.0,s,0.16247855126857758
Site_23,Site_25,False,False,True,4.0,l,0.09202700108289719
Site_23,Site_25,False,False,True,5.0,s,0.1644115000963211
Site_23,Site_25,False,False,True,5.0,l,0.1383693665266037
Site_23,Site_26,True,False,True,0.5,s,0.3639874756336212
Site_23,Site_26,True,False,True,0.5,l,1.003761649131775
Site_23,Site_26,True,False,True,1.0,s,0.3454667627811432
Site_23,Site_26,True,False,True,1.0,l,0.9866568446159363
Site_23,Site_26,True,False,True,2.0,s,0.3325224220752716
Site_23,Site_26,True,False,True,2.0,l,0.9794479608535767
Site_23,Site_26,True,False,True,3.0,s,0.3334396481513977
Site_23,Site_26,True,False,True,3.0,l,
Site_23,Site_26,True,False,True,4.0,s,0.3539424538612366
Site_23,Site_26,True,False,True,4.0,l,
Site_23,Site_26,True,False,True,5.0,s,0.3607514202594757
Site_23,Site_26,True,False,True,5.0,l,
Site_25,Site_23,False,True,False,0.5,s,0.17854653298854828
Site_25,Site_23,False,True,False,0.5,l,0.27520284056663513
Site_25,Site_23,False,True,False,1.0,s,0.15947844088077545
Site_25,Site_23,False,True,False,1.0,l,0.21839240193367004
Site_25,Site_23,False,True,False,2.0,s,0.14640679955482483
Site_25,Site_23,False,True,False,2.0,l,0.1729312241077423
Site_25,Site_23,False,True,False,3.0,s,0.13541735708713531
Site_25,Site_23,False,True,False,3.0,l,0.1391785591840744
Site_25,Site_23,False,True,False,4.0,s,0.118137888610363
Site_25,Site_23,False,True,False,4.0,l,0.13504169881343842
Site_25,Site_23,False,True,False,5.0,s,0.10935341566801071
Site_25,Site_23,False,True,False,5.0,l,0.18982519209384918
Site_23,Site_5,True,False,False,0.5,s,0.37779197096824646
Site_23,Site_5,True,False,False,0.5,l,0.8691360354423523
Site_23,Site_5,True,False,False,1.0,s,0.3744964003562927
Site_23,Site_5,True,False,False,1.0,l,0.6709784269332886
