trn_site,test_site,threshold,s_l,value
Site_24,Site_23,3.0,s,0.2444109469652176
Site_24,Site_23,3.0,l,0.1566590517759323
Site_24,Site_23,4.0,s,0.21458210051059723
Site_24,Site_23,4.0,l,0.1630069762468338
Site_24,Site_23,5.0,s,0.18048109114170074
Site_24,Site_23,5.0,l,0.18211059272289276
Site_24,Site_23,1.0,s,0.41295453906059265
Site_24,Site_23,1.0,l,0.23467262089252472
Site_24,Site_23,2.0,s,0.34670209884643555
Site_24,Site_23,2.0,l,0.1791175901889801
Site_24,Site_23,3.0,s,0.311922550201416
Site_24,Site_23,3.0,l,0.14847175776958466
Site_24,Site_23,4.0,s,0.2756892442703247
Site_24,Site_23,4.0,l,0.1590282917022705
Site_24,Site_23,5.0,s,0.23016320168972015
Site_24,Site_23,5.0,l,0.16772207617759705
