trn_site,test_site,threshold,s_l,value
Site_25,Site_5,2.0,l,
Site_25,Site_5,3.0,s,0.09721224755048752
Site_25,Site_5,3.0,l,
Site_25,Site_5,4.0,s,0.09950527548789978
Site_25,Site_5,4.0,l,
Site_25,Site_5,5.0,s,
Site_25,Site_5,5.0,l,
Site_1,Site_5,1.0,s,0.29544830322265625
Site_1,Site_5,1.0,l,0.35300421714782715
Site_1,Site_5,2.0,s,0.27959907054901123
Site_1,Site_5,2.0,l,
Site_1,Site_5,3.0,s,0.2845674455165863
Site_1,Site_5,3.0,l,
Site_1,Site_5,4.0,s,0.2834688425064087
Site_1,Site_5,4.0,l,
Site_1,Site_5,5.0,s,
Site_1,Site_5,5.0,l,
Site_5,Site_25,1.0,s,0.6680145263671875
Site_5,Site_25,1.0,l,0.9250373244285583
Site_5,Site_25,2.0,s,0.7470982670783997
Site_5,Site_25,2.0,l,0.984061598777771
Site_5,Site_25,3.0,s,0.8418037295341492
Site_5,Site_25,3.0,l,0.9979938864707947
Site_5,Site_25,4.0,s,0.8959262371063232
Site_5,Site_25,4.0,l,0.9994382262229919
Site_5,Site_25,5.0,s,0.9180179834365845
Site_5,Site_25,5.0,l,0.9991254210472107
Site_1,Site_24,1.0,s,0.20754089951515198
Site_1,Site_24,1.0,l,0.3163478970527649
Site_1,Site_24,2.0,s,0.20319189131259918
Site_1,Site_24,2.0,l,0.2102053463459015
Site_1,Site_24,3.0,s,0.219132661819458
Site_1,Site_24,3.0,l,0.19560708105564117
Site_1,Site_24,4.0,s,0.2377621829509735
Site_1,Site_24,4.0,l,0.1783795952796936
Site_1,Site_24,5.0,s,0.2469814419746399
Site_1,Site_24,5.0,l,0.16716979444026947
Site_5,Site_23,1.0,s,0.7615712881088257
Site_5,Site_23,1.0,l,0.9864248633384705
Site_5,Site_23,2.0,s,0.7655686736106873
Site_5,Site_23,2.0,l,0.9923924803733826
Site_5,Site_23,3.0,s,0.7889849543571472
Site_5,Site_23,3.0,l,0.9947154521942139
Site_5,Site_23,4.0,s,0.8211995363235474
Site_5,Site_23,4.0,l,0.9968569278717041
Site_5,Site_23,5.0,s,0.8163806200027466
Site_5,Site_23,5.0,l,0.9955641627311707
Site_24,Site_26,1.0,s,0.22645148634910583
Site_24,Site_26,1.0,l,1.0285521745681763
Site_24,Site_26,2.0,s,0.204981729388237
Site_24,Site_26,2.0,l,0.9929059147834778
Site_24,Site_26,3.0,s,0.1931857019662857
Site_24,Site_26,3.0,l,
Site_24,Site_26,4.0,s,0.19203506410121918
Site_24,Site_26,4.0,l,
Site_24,Site_26,5.0,s,0.1859634667634964
Site_24,Site_26,5.0,l,
Site_1,Site_25,1.0,s,0.1638389378786087
Site_1,Site_25,1.0,l,0.2462453544139862
Site_1,Site_25,2.0,s,0.16014806926250458
Site_1,Site_25,2.0,l,0.1635260134935379
Site_1,Site_25,3.0,s,0.17726586759090424
Site_1,Site_25,3.0,l,0.11796370148658752
Site_1,Site_25,4.0,s,0.19196347892284393
Site_1,Site_25,4.0,l,0.08830258995294571
Site_1,Site_25,5.0,s,0.19639289379119873
Site_1,Site_25,5.0,l,0.08296149969100952
Site_5,Site_24,1.0,s,0.8228459358215332
Site_5,Site_24,1.0,l,0.8837389945983887
Site_5,Site_24,2.0,s,0.822494626045227
Site_5,Site_24,2.0,l,0.9178847074508667
Site_5,Site_24,3.0,s,0.8514991998672485
Site_5,Site_24,3.0,l,0.9551671147346497
Site_5,Site_24,4.0,s,0.8693116307258606
Site_5,Site_24,4.0,l,0.9703154563903809
Site_5,Site_24,5.0,s,0.8841007351875305
Site_5,Site_24,5.0,l,0.9780850410461426
Site_5,Site_1,1.0,s,0.7989528775215149
Site_5,Site_1,1.0,l,0.883979856967926
Site_5,Site_1,2.0,s,0.7191694378852844
Site_5,Site_1,2.0,l,0.9470878839492798
Site_5,Site_1,3.0,s,0.6743932366371155
Site_5,Site_1,3.0,l,0.9589788317680359
Site_5,Site_1,4.0,s,0.7069894671440125
Site_5,Site_1,4.0,l,0.9620044827461243
Site_5,Site_1,5.0,s,0.7269949316978455
Site_5,Site_1,5.0,l,0.9651147127151489
